Date,Open,High,Low,Close,Change,%Change,Volume,Value
4/10/2022,5.05,5.05,4.98,5.05,-0.05,-0.98,"238,557","1,201.88"
1/10/2022,5.1,5.1,5,5.1,0,0,"36,797",185.55
30/09/2022,4.64,5.1,4.64,5.1,-0.05,-0.97,"26,030",131.56
29/09/2022,5.15,5.15,5.1,5.15,0,0,"4,450",22.9
28/09/2022,5.2,5.25,5.15,5.15,-0.1,-1.9,"60,770",315.64
27/09/2022,5.2,5.3,5.15,5.25,0.05,0.96,"61,833",323.01
23/09/2022,5.35,5.35,5.1,5.2,-0.1,-1.89,"86,021",448.68
22/09/2022,5.35,5.35,5.25,5.3,-0.05,-0.93,"27,712",146.84
21/09/2022,5.4,5.4,5.2,5.35,0.15,2.88,"199,171","1,055.57"
20/09/2022,5.2,5.3,5.15,5.2,0.1,1.96,"194,388","1,013.39"
17/09/2022,,5.2,5,5.1,-0.05,-0.97,"134,986",696.6
16/09/2022,4.92,5.15,4.92,5.15,0.1,1.98,"77,911",392.7
15/09/2022,5.2,5.25,5.05,5.05,-0.15,-2.88,"96,431",495.02
14/09/2022,4.76,5.35,4.76,,0.44,9.24,"477,288","2,438.21"
13/09/2022,4.9,4.9,4.44,4.76,-0.12,-2.46,"19,938",92.95
10/9/2022,4.9,4.9,4.8,4.88,-0.02,-0.41,"48,839",238.93
9/9/2022,4.84,4.9,4.84,4.9,0.04,0.82,"58,975",287.49
8/9/2022,4.84,4.88,4.84,4.86,-0.02,-0.41,"66,653",324.98
7/9/2022,4.86,4.88,4.84,4.88,0.02,0.41,"77,535",376.85
6/9/2022,4.82,4.88,4.82,4.86,0.04,0.83,"73,224",356.37
3/9/2022,4.82,,4.78,4.82,0,0,"107,407",519.22
2/9/2022,4.8,4.82,4.8,4.82,0.04,0.84,"52,707",253.48
1/9/2022,4.8,4.8,4.78,4.78,-0.02,-0.42,"33,820",161.96
31/08/2022,4.82,4.84,4.78,4.8,-0.02,-0.41,"72,245",348.46
30/08/2022,4.8,4.84,4.7,4.82,0.02,0.42,"146,933",704
27/08/2022,4.9,4.9,4.66,4.8,0.2,4.35,"368,748","1,758.43"
26/08/2022,4.48,4.6,4.48,4.6,0.12,2.68,"298,519","1,359.35"
25/08/2022,4.44,4.52,4.44,4.48,0.04,0.9,"17,480",78.41
24/08/2022,,4.5,4.4,4.44,0.1,2.3,"34,475",153.73
23/08/2022,4.42,4.44,4.3,4.34,0,0,"53,210",234.46
20/08/2022,4.28,4.36,4.28,4.34,0.08,1.88,"57,036",247.68
19/08/2022,4.28,4.32,4.26,4.26,-0.02,-0.47,"32,560",139.47
18/08/2022,4.3,4.3,4.26,4.28,-0.02,-0.47,"5,640",24.15
17/08/2022,4.28,4.32,4.26,4.3,0,0,"48,667",209.33
16/08/2022,4.36,4.36,4.2,4.3,0,0,"74,027",318.06
13/08/2022,4.3,4.3,,4.3,0,0,"31,428",134.97
11/8/2022,4.24,4.34,4.24,4.3,0.06,1.42,"126,744",545.78
10/8/2022,,4.34,4.22,4.24,0.02,0.47,"40,794",173.36
9/8/2022,4.24,4.26,4.2,4.22,0.02,0.48,"45,467",192.88
6/8/2022,4.22,4.24,4.2,4.2,-0.02,-0.47,"60,716",255.67
5/8/2022,4.2,4.22,4.16,4.22,0.02,0.48,"32,005",134.34
4/8/2022,4.22,4.28,4.2,4.2,-0.02,-0.47,"35,457",149.63
3/8/2022,4.2,4.3,4.2,4.22,0,0,"25,056",106.02
2/8/2022,4.22,4.24,4.18,4.22,0,0,"19,185",80.77
30/07/2022,4.3,4.3,4.2,4.22,-0.02,-0.47,"63,428",269.51
29/07/2022,4.26,4.26,4.22,,-0.02,-0.47,"51,906",220.04
27/07/2022,,4.9,4.18,4.26,0.14,3.4,"218,703",987.09
23/07/2022,4.12,4.14,4.12,4.12,0.02,0.49,"4,210",17.36
22/07/2022,4.02,4.12,4.02,4.1,0,0,"22,539",92.42
21/07/2022,4.18,4.18,4.08,4.1,0,0,"13,479",55.28
20/07/2022,4.04,4.1,4.04,4.1,0.02,0.49,"28,628",117.09
19/07/2022,4.08,4.08,4.04,4.08,0.02,0.49,"28,937",117.63
16/07/2022,4.02,4.08,4,4.06,0.04,1,"9,022",36.55
15/07/2022,4.06,4.06,4.02,4.02,-0.02,-0.5,"14,789",59.5
14/07/2022,4.1,4.1,4.04,4.04,-0.02,-0.49,"20,344",83.08
13/07/2022,4.06,4.12,4.06,4.06,0.06,1.5,"6,869",27.94
12/7/2022,4.06,4.16,4,4,-0.06,-1.48,"62,526",257.34
9/7/2022,3.98,4.18,3.98,4.06,-0.02,-0.49,"14,881",60.17
8/7/2022,4.1,4.1,3.98,4.08,-0.02,-0.49,"96,296",388.61
7/7/2022,4.08,4.12,4.06,4.1,0.02,0.49,"13,665",55.92
6/7/2022,4.12,4.12,4.08,4.08,-0.04,-0.97,"26,085",107.15
5/7/2022,4.1,,4.04,4.12,0.08,1.98,"69,581",285.57
2/7/2022,4.04,4.06,4.02,4.04,0,0,"13,616",54.94
1/7/2022,4.04,4.08,4.02,4.04,0,0,"25,784",104.2
